Function, Algorithm, Dimensions, Fitness
Rastrigin, GA, 2, 0
Rastrigin, GA, 3, 3.11573E-11
Rastrigin, GA, 10, 2.65585E-08
Rastrigin, GA, 5, 1.63792E-08
Rastrigin, GA, 20, 0.061899908
Rastrigin, GA, 40, 2.995748846
Rastrigin, GA, 2, 1.34802E-08
Rastrigin, GA, 3, 1.19371E-12
Rastrigin, GA, 10, 2.63976E-08
Rastrigin, GA, 5, 2.08092E-08
Rastrigin, GA, 20, 0.017873104
Rastrigin, GA, 40, 1.95478879
Rastrigin, GA, 2, 2.06057E-13
Rastrigin, GA, 3, 3.67608E-09
Rastrigin, GA, 10, 2.63976E-08
Rastrigin, GA, 5, 1.64947E-08
Rastrigin, GA, 20, 0.001506383
Rastrigin, GA, 40, 4.005486165
Rastrigin, GA, 2, 4.72696E-09
Rastrigin, GA, 3, 2.6371E-09
Rastrigin, GA, 10, 2.63976E-08
Rastrigin, GA, 5, 4.67537E-12
Rastrigin, GA, 20, 0.018909614
Rastrigin, GA, 40, 2.790235859
Rastrigin, GA, 2, 1.94926E-08
Rastrigin, GA, 3, 5.70171E-08
Rastrigin, GA, 10, 1.64761E-08
Rastrigin, GA, 5, 8.96563E-11
Rastrigin, GA, 20, 1.078308863
Rastrigin, GA, 40, 4.65077257
Rastrigin, GA, 2, 3.35906E-08
Rastrigin, GA, 3, 7.82649E-09
Rastrigin, GA, 10, 1.04736E-06
Rastrigin, GA, 5, 1.66239E-10
Rastrigin, GA, 20, 0.00188107
Rastrigin, GA, 40, 3.166056257
Rastrigin, GA, 2, 2.52314E-11
Rastrigin, GA, 3, 2.27691E-08
Rastrigin, GA, 10, 8.89212E-09
Rastrigin, GA, 5, 9.42606E-11
Rastrigin, GA, 20, 1.011436333
Rastrigin, GA, 40, 2.968867405
Rastrigin, GA, 2, 1.31344E-11
Rastrigin, GA, 3, 4.93671E-08
Rastrigin, GA, 10, 2.45939E-08
Rastrigin, GA, 5, 5.35524E-08
Rastrigin, GA, 20, 0.002199904
Rastrigin, GA, 40, 2.478808967
Rastrigin, GA, 2, 5.81021E-08
Rastrigin, GA, 3, 3.85576E-11
Rastrigin, GA, 10, 2.2962E-07
Rastrigin, GA, 5, 5.45948E-09
Rastrigin, GA, 20, 1.059851265
Rastrigin, GA, 40, 5.239317879
Rastrigin, GA, 2, 1.61371E-08
Rastrigin, GA, 3, 2.08189E-12
Rastrigin, GA, 10, 3.21768E-09
Rastrigin, GA, 5, 2.19574E-08
Rastrigin, GA, 20, 0.036058385
Rastrigin, GA, 40, 3.855543767
Rastrigin, GA, 2, 1.78348E-09
Rastrigin, GA, 3, 4.29168E-12
Rastrigin, GA, 10, 4.36763E-06
Rastrigin, GA, 5, 3.63758E-09
Rastrigin, GA, 20, 0.014203345
