Function,2 dim.,3 dim,5 dim.,10 dim.,20 dim.,40 dim,Fn,Mejor,Promedio,#EXP
Rastrigin GA,0,3.11573E-11,1.63792E-08,2.65585E-08,0.061899908,2.995748846,Rastrigin GA,0.000808633,0.220596203,15
Rastrigin GA,1.34802E-08,1.19371E-12,2.08092E-08,2.63976E-08,0.017873104,1.95478879,Rastrigin PSO,3.988070734,25.51777514,15
Rastrigin GA,2.06057E-13,3.67608E-09,1.64947E-08,2.63976E-08,0.001506383,4.005486165,Rastrigin GA-PSO,9.13E-09,7.38E-02,15
Rastrigin GA,4.72696E-09,2.6371E-09,4.67537E-12,2.63976E-08,0.018909614,2.790235859,Sphere GA,1.85178E-06,9.22715E-06,15
Rastrigin GA,1.94926E-08,5.70171E-08,8.96563E-11,1.64761E-08,1.078308863,4.65077257,Sphere PSO,7.04E-11,3.50E-07,15
Rastrigin GA,3.35906E-08,7.82649E-09,1.66239E-10,1.04736E-06,0.00188107,3.166056257,Sphere GA-PSO,9.11E-11,2.13E-08,15
Rastrigin GA,2.52314E-11,2.27691E-08,9.42606E-11,8.89212E-09,1.011436333,2.968867405,Rosenbrock GA,0.000348015,0.010958941,15
Rastrigin GA,1.31344E-11,4.93671E-08,5.35524E-08,2.45939E-08,0.002199904,2.478808967,Rosenbrock PSO,9.119539342,13.37613983,15
Rastrigin GA,5.81021E-08,3.85576E-11,5.45948E-09,2.2962E-07,1.059851265,5.239317879,Rosenbrock GA-PSO,2.31663E-05,0.005608855,15
Rastrigin GA,1.61371E-08,2.08189E-12,2.19574E-08,3.21768E-09,0.036058385,3.855543767,,,,
Rastrigin GA,1.78348E-09,4.29168E-12,3.63758E-09,4.36763E-06,0.014203345,2.643381519,,,,
Rastrigin GA,3.51816E-08,6.62549E-10,5.26673E-09,2.74497E-06,0.000942098,2.170251346,,,,
Rastrigin GA,5.10982E-08,3.77199E-08,5.47765E-10,1.59277E-06,0.001468052,7.125491443,,,,
Rastrigin GA,5.73465E-10,9.98313E-13,2.7575E-08,2.55971E-06,0.001596093,2.07933581,,,,
Rastrigin GA,1.38608E-08,1.61684E-11,1.83164E-08,2.30013E-05,0.000808633,5.288469702,,,,
Rastrigin PSO,2.8308E-11,0,5.565299883,8.575566306,6.965188099,139.9134227,,,,
